GLATOS_ARRAY,OTN_ARRAY,STATION_NO,CONSECUTIVE_DEPLOY_NO,OTN_MISSION_ID,AR_CONFIRM,DATA_DOWNLOADED,INS_MODEL_NUMBER,INS_SERIAL_NUMBER,RECOVERED,RECOVER_DATE_TIME,GLATOS_RECOVER_DATE_TIME,GLATOS_TIMEZONE,RECOVER_LAT,RECOVER_LONG,GLATOS_PROJECT,GLATOS_VPS,COMMENTS,,,,,,,
MPT,,1,5,,,,,126968,Y,,2017-06-01 09:30,Eastern,,,ELOMA,No,,,,,,,,
LRH,,1,4,,,,,126971,Y,,2017-05-31 11:00,Eastern,,,ELOMA,No,,,,,,,,
TGN,,1,4,,,,,126956,Y,,2017-06-08 12:00,Eastern,,,ELOMA,No,,,,,,,,
HBY,,1,1,,,,,126973,Y,,2017-05-31 13:00,Eastern,,,ELOMA,No,,,,,,,,
HBY,,2,1,,,,,126989,Y,,2017-05-31 13:15,Eastern,,,ELOMA,No,,,,,,,,
TNN,,1,3,,,,,126967,Y,,2017-06-01 10:00,Eastern,,,ELOMA,No,,,,,,,,
TNN,,2,4,,,,,126975,Y,,2017-06-01 10:20,Eastern,,,ELOMA,No,,,,,,,,
CNW,,1,4,,,,,126966,Y,,2017-05-30 10:00,Eastern,,,ELOMA,No,,,,,,,,
CNW,,2,4,,,,,126963,Y,,2017-05-30 10:10,Eastern,,,ELOMA,No,,,,,,,,
CNW,,3,4,,,,,126996,Y,,2017-05-30 10:20,Eastern,,,ELOMA,No,,,,,,,,
CNW,,4,4,,,,,126962,Y,,2017-05-30 10:30,Eastern,,,ELOMA,No,,,,,,,,
GNR,,1,4,,,,,126964,Y,,2017-05-30 14:00,Eastern,,,ELOMA,No,,,,,,,,
GNR,,2,4,,,,,126992,Y,,2017-05-30 14:10,Eastern,,,ELOMA,No,,,,,,,,
MAM,,1,4,,,,,126965,Y,,2017-04-03 00:00,Eastern,,,ELOMA,No,,,,,,,,
MAM,,2,4,,,,,126960,Y,,2017-06-01 10:00,Eastern,,,ELOMA,No,,,,,,,,
MAM,,3,4,,,,,126988,Y,,2017-06-01 10:10,Eastern,,,ELOMA,No,,,,,,,,
MAM,,4,4,,,,,126981,Y,,2017-06-01 10:20,Eastern,,,ELOMA,No,,,,,,,,
DBG,,1,4,,,,,126977,Y,,2017-05-31 13:00,Eastern,,,ELOMA,No,,,,,,,,
IAM,,1,4,,,,,126993,Y,,2017-06-07 09:00,Eastern,,,ELOMA,No,,,,,,,,
IAM,,2,4,,,,,126987,Y,,2017-06-02 09:10,Eastern,,,ELOMA,No,,,,,,,,
IAM,,3,4,,,,,126991,Y,,2017-06-02 09:25,Eastern,,,ELOMA,No,,,,,,,,
IAM,,4,4,,,,,126961,Y,,2017-06-02 09:45,Eastern,,,ELOMA,No,,,,,,,,
IAM,,5,4,,,,,126959,Y,,2017-06-02 11:00,Eastern,,,ELOMA,No,,,,,,,,
MDI,,1,4,,,,,126981,Y,,2017-08-24 10:00,Eastern,,,ELOMA,No,,,,,,,,
MDI,,2,4,,,,,126975,Y,,2017-08-24 10:10,Eastern,,,ELOMA,No,,,,,,,,
MDI,,3,4,,,,,126960,Y,,2017-08-24 10:20,Eastern,,,ELOMA,No,,,,,,,,
MDI,,4,4,,,,,126989,Y,,2017-08-24 10:30,Eastern,,,ELOMA,No,,,,,,,,
MDI,,5,4,,,,,126961,Y,,2017-08-24 10:40,Eastern,,,ELOMA,No,,,,,,,,
MDI,,6,4,,,,,126956,Y,,2017-08-24 10:50,Eastern,,,ELOMA,No,,,,,,,,
MPT,,1,6,,,,,126966,Y,,2017-11-08 12:20,Eastern,,,ELOMA,No,,,,,,,,
LRH,,1,5,,,,,126996,Y,,2017-10-24 11:00,Eastern,,,ELOMA,No,,,,,,,,
TGN,,1,5,,,,,126987,Y,,2017-10-24 10:00,Eastern,,,ELOMA,No,,,,,,,,
HBY,,1,2,,,,,126964,Y,,2017-10-24 09:00,Eastern,,,ELOMA,No,,,,,,,,
HBY,,2,2,,,,,126992,Y,,2017-10-24 08:45,Eastern,,,ELOMA,No,,,,,,,,
TNN,,1,4,,,,,126977,Y,,2017-11-01 10:10,Eastern,,,ELOMA,No,,,,,,,,
TNN,,2,5,,,,,126973,Y,,2017-11-01 10:10,Eastern,,,ELOMA,No,,,,,,,,
MCL,,1,3,,,,,126999,Y,,2017-11-01 12:00,Eastern,,,ELOMA,No,,,,,,,,
PBM,,1,2,,,,,131935,Y,,2017-11-03 10:00,Eastern,,,ELOMA,No,,,,,,,,
CNW,,1,5,,,,,481185,Y,,2017-10-25 10:00,Eastern,,,ELOMA,No,,,,,,,,
CNW,,2,5,,,,,481186,Y,,2017-10-25 10:20,Eastern,,,ELOMA,No,,,,,,,,
CNW,,3,5,,,,,481190,Y,,2017-10-25 10:30,Eastern,,,ELOMA,No,,,,,,,,
CNW,,4,5,,,,,481189,Y,,2017-10-25 10:40,Eastern,,,ELOMA,No,,,,,,,,
DBG,,1,5,,,,,481252,Y,,2017-10-24 13:00,Eastern,,,ELOMA,No,,,,,,,,
GNR,,1,5,,,,,481188,Y,,2017-10-24 13:30,Eastern,,,ELOMA,No,,,,,,,,
GNR,,2,5,,,,,481187,Y,,2017-10-24 13:40,Eastern,,,ELOMA,No,,,,,,,,
